10 10
0.204482 0.308356 0.095008 0.865709 0.447535 0.725356 0.568206 0.488503 0.958047 0.264105 
0.160303 0.434907 0.368969 0.752662 0.991222 0.490057 0.267768 0.424140 0.448862 0.843368 
0.498883 0.335821 0.422359 0.290976 0.055550 0.453561 0.469668 0.219891 0.888714 0.727303 
0.924374 0.093196 0.035660 0.019382 0.958906 0.483195 0.744737 0.527112 0.971697 0.702785 
0.791217 0.132000 0.137692 0.160186 0.884662 0.128914 0.650243 0.152430 0.553054 0.099105 
0.995797 0.051938 0.434926 0.418157 0.342914 0.490476 0.871718 0.812582 0.710366 0.760432 
0.539885 0.634740 0.853628 0.575545 0.654122 0.812534 0.058739 0.398859 0.339646 0.030436 
0.101643 0.130863 0.162436 0.239335 0.291049 0.047098 0.368249 0.941292 0.199528 0.921303 
0.040397 0.195325 0.973241 0.475323 0.613482 0.316155 0.965799 0.485199 0.128736 0.676165 
0.245631 0.668621 0.310905 0.099260 0.244166 0.965026 0.911794 0.302905 0.363885 0.251440
